Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q5T8A7,PPR26_HUMAN,Protein phosphatase 1 regulatory subunit 26,1.0
2,Q5VZP5,DUS27_HUMAN,Inactive dual specificity phosphatase 27,1.0
3,O14974,MYPT1_HUMAN,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit),1.0
4,P98082,DAB2_HUMAN,Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2),1.0
5,Q15735,PI5PA_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (EC 3.1.3.56) (Inositol polyphosphate 5-phosphatase J)",1.0
6,Q6ZSY5,PPR3F_HUMAN,Protein phosphatase 1 regulatory subunit 3F (R3F),1.0
7,Q96QC0,PP1RA_HUMAN,Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (Protein FB19) (p99),1.0
8,Q8TEW0,PARD3_HUMAN,Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha),1.0
9,Q8IZ21,PHAR4_HUMAN,Phosphatase and actin regulator 4,1.0
10,Q69YH5,CDCA2_HUMAN,Cell division cycle-associated protein 2 (Recruits PP1 onto mitotic chromatin at anaphase protein) (Repo-Man),1.0
11,Q92540,SMG7_HUMAN,Protein SMG7 (EST1-like protein C) (SMG-7 homolog) (hSMG-7),1.0
12,Q5VY09,IER5_HUMAN,Immediate early response gene 5 protein,1.0
13,Q12923,PTN13_HUMAN,Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1),1.0
14,Q8WYL5,SSH1_HUMAN,Protein phosphatase Slingshot homolog 1 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 1) (SSH-1L) (hSSH-1L),1.0
15,Q9BZL4,PP12C_HUMAN,Protein phosphatase 1 regulatory subunit 12C (Protein phosphatase 1 myosin-binding subunit of 85 kDa) (Protein phosphatase 1 myosin-binding subunit p85),1.0
16,O75807,PR15A_HUMAN,Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog),1.0
17,O60237,MYPT2_HUMAN,Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2),1.0
18,O94842,TOX4_HUMAN,TOX high mobility group box family member 4 (Epidermal Langerhans cell protein LCP1),1.0
19,Q96SB3,NEB2_HUMAN,Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin),1.0
20,Q16821,PPR3A_HUMAN,Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1),1.0
21,P23471,PTPRZ_HUMAN,Receptor-type tyrosine-protein phosphatase zeta (R-PTP-zeta) (EC 3.1.3.48) (Protein-tyrosine phosphatase receptor type Z polypeptide 1) (Protein-tyrosine phosphatase receptor type Z polypeptide 2) (R-PTP-zeta-2),1.0
22,Q9NY27,PP4R2_HUMAN,Serine/threonine-protein phosphatase 4 regulatory subunit 2,1.0
23,Q9Y5B0,CTDP1_HUMAN,RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (TFIIF-associating CTD phosphatase),1.0
24,Q9ULJ8,NEB1_HUMAN,Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (Protein phosphatase 1 regulatory subunit 9A),1.0
25,Q6NYC8,PPR18_HUMAN,Phostensin (Protein phosphatase 1 F-actin cytoskeleton-targeting subunit) (Protein phosphatase 1 regulatory subunit 18),1.0
26,O75167,PHAR2_HUMAN,Phosphatase and actin regulator 2,1.0
27,O60346,PHLP1_HUMAN,PH domain leucine-rich repeat-containing protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1) (PH domain-containing family E member 1) (Suprachiasmatic nucleus circadian oscillatory protein) (hSCOP),1.0
28,Q96KR7,PHAR3_HUMAN,Phosphatase and actin regulator 3 (Scaffold-associated PP1-inhibiting protein) (Scapinin),1.0
29,O95677,EYA4_HUMAN,Eyes absent homolog 4 (EC 3.1.3.48),1.0
30,Q86UL8,MAGI2_HUMAN,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Atrophin-1-interacting protein 1) (AIP-1) (Atrophin-1-interacting protein A) (Membrane-associated guanylate kinase inverted 2) (MAGI-2)",1.0
31,Q13522,PPR1A_HUMAN,Protein phosphatase 1 regulatory subunit 1A (Protein phosphatase inhibitor 1) (I-1) (IPP-1),1.0
32,Q99502,EYA1_HUMAN,Eyes absent homolog 1 (EC 3.1.3.16) (EC 3.1.3.48),1.0
33,Q01105,SET_HUMAN,Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I),1.0
34,O14990,IPP2C_HUMAN,"Protein phosphatase inhibitor 2 family member C (PPP1R2 family member B) (Protein phosphatase 1, regulatory subunit 2 pseudogene 9) (Type-1 protein phosphatase inhibitor 4) (I-4)",1.0
35,Q92932,PTPR2_HUMAN,Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60],1.0
36,Q9Y2W2,WBP11_HUMAN,WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1),1.0
37,Q6NXS1,IPP2B_HUMAN,"Protein phosphatase inhibitor 2 family member B (PPP1R2 family member B) (Protein phosphatase 1, regulatory subunit 2 pseudogene 3) (Protein phosphatase inhibitor 2-like protein 3)",0.99
38,O43768,ENSA_HUMAN,Alpha-endosulfine (ARPP-19e),0.99
39,Q76I76,SSH2_HUMAN,Protein phosphatase Slingshot homolog 2 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 2) (SSH-2L) (hSSH-2L),0.99
40,Q96PQ5,IPP2L_HUMAN,"Putative protein phosphatase inhibitor 2-like protein 1 (Protein phosphatase 1, regulatory subunit 2 pseudogene 1)",0.99
41,O75061,AUXI_HUMAN,Putative tyrosine-protein phosphatase auxilin (EC 3.1.3.48) (DnaJ homolog subfamily C member 6),0.99
42,Q16849,PTPRN_HUMAN,Receptor-type tyrosine-protein phosphatase-like N (R-PTP-N) (Islet cell antigen 512) (ICA 512) (Islet cell autoantigen 3) (PTP IA-2) [Cleaved into: ICA512-N-terminal fragment (ICA512-NTF); ICA512-transmembrane fragment (ICA512-TMF); ICA512-cleaved cytosolic fragment (ICA512-CCF)],0.99
43,O95248,MTMR5_HUMAN,Myotubularin-related protein 5 (Inactive phosphatidylinositol 3-phosphatase 5) (SET-binding factor 1) (Sbf1),0.99
44,Q8WVI7,PPR1C_HUMAN,Protein phosphatase 1 regulatory subunit 1C (Inhibitor-5 of protein phosphatase 1) (IPP5),0.99
45,Q86US8,EST1A_HUMAN,Telomerase-binding protein EST1A (EC 3.1.-.-) (EST1-like protein A) (Ever shorter telomeres 1A) (Smg-6 homolog) (Telomerase subunit EST1A) (hSmg5/7a),0.99
46,Q63HR2,TNS2_HUMAN,Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase),0.99
47,Q9UD71,PPR1B_HUMAN,Protein phosphatase 1 regulatory subunit 1B (DARPP-32) (Dopamine- and cAMP-regulated neuronal phosphoprotein),0.99
48,P41236,IPP2_HUMAN,Protein phosphatase inhibitor 2 (IPP-2),0.99
49,Q86XL3,ANKL2_HUMAN,Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4),0.99
50,Q9BQK8,LPIN3_HUMAN,Phosphatidate phosphatase LPIN3 (EC 3.1.3.4) (Lipin-3) (Lipin-3-like),0.99
51,Q9C0D0,PHAR1_HUMAN,Phosphatase and actin regulator 1,0.99
52,Q6T4P5,PLPR3_HUMAN,Phospholipid phosphatase-related protein type 3 (EC 3.1.3.4) (Lipid phosphate phosphatase-related protein type 3) (PAP-2-like protein 2) (Plasticity-related gene 2 protein) (PRG-2),0.99
53,Q8TEC5,SH3R2_HUMAN,E3 ubiquitin-protein ligase SH3RF2 (EC 2.3.2.27) (Heart protein phosphatase 1-binding protein) (HEPP1) (POSH-eliminating RING protein) (Protein phosphatase 1 regulatory subunit 39) (RING finger protein 158) (RING-type E3 ubiquitin transferase SH3RF2) (SH3 domain-containing RING finger protein 2),0.99
54,Q9BTT0,AN32E_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),0.99
55,Q5VWQ8,DAB2P_HUMAN,Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein),0.99
56,Q9Y463,DYR1B_HUMAN,Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase),0.99
57,Q92539,LPIN2_HUMAN,Phosphatidate phosphatase LPIN2 (EC 3.1.3.4) (Lipin-2),0.98
58,Q9H7J1,PPR3E_HUMAN,Protein phosphatase 1 regulatory subunit 3E,0.98
59,Q5SWA1,PR15B_HUMAN,Protein phosphatase 1 regulatory subunit 15B,0.98
60,Q9NZM5,NOP53_HUMAN,Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60),0.98
61,Q99504,EYA3_HUMAN,Eyes absent homolog 3 (EC 3.1.3.48),0.98
62,Q14684,RRP1B_HUMAN,Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B),0.98
63,O60927,PP1RB_HUMAN,E3 ubiquitin-protein ligase PPP1R11 (EC 2.3.2.27) (Hemochromatosis candidate gene V protein) (HCG V) (Protein phosphatase 1 regulatory subunit 11) (Protein phosphatase inhibitor 3),0.98
64,Q5TCQ9,MAGI3_HUMAN,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)",0.98
65,Q7Z5V6,PPR32_HUMAN,Protein phosphatase 1 regulatory subunit 32,0.98
66,O15355,PPM1G_HUMAN,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),0.98
67,P56211,ARP19_HUMAN,cAMP-regulated phosphoprotein 19 (ARPP-19),0.98
68,Q05D32,CTSL2_HUMAN,CTD small phosphatase-like protein 2 (CTDSP-like 2) (EC 3.1.3.-),0.97
69,Q14761,PTCA_HUMAN,Protein tyrosine phosphatase receptor type C-associated protein (PTPRC-associated protein) (CD45-associated protein) (CD45-AP) (Lymphocyte phosphatase-associated phosphoprotein),0.97
70,Q7Z2D5,PLPR4_HUMAN,Phospholipid phosphatase-related protein type 4 (EC 3.1.3.4) (Brain-specific phosphatidic acid phosphatase-like protein 1) (Lipid phosphate phosphatase-related protein type 4) (Plasticity-related gene 1 protein) (PRG-1),0.97
71,Q5R3F8,PPR29_HUMAN,Protein phosphatase 1 regulatory subunit 29 (Extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2) (Leucine-rich repeat and fibronectin type-III domain-containing protein 6) (Leucine-rich repeat-containing protein 62),0.97
72,Q13202,DUS8_HUMAN,Dual specificity protein phosphatase 8 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH-5),0.97
73,Q6WCQ1,MPRIP_HUMAN,Myosin phosphatase Rho-interacting protein (M-RIP) (Rho-interacting protein 3) (RIP3) (p116Rip),0.97
74,O75170,PP6R2_HUMAN,Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2),0.96
75,Q96E09,F122A_HUMAN,Protein FAM122A,0.96
76,O76021,RL1D1_HUMAN,Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1),0.96
77,Q16825,PTN21_HUMAN,Tyrosine-protein phosphatase non-receptor type 21 (EC 3.1.3.48) (Protein-tyrosine phosphatase D1),0.96
78,Q05209,PTN12_HUMAN,Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1),0.96
79,Q8TAP8,PPR35_HUMAN,Protein phosphatase 1 regulatory subunit 35,0.96
80,Q9H0X9,OSBL5_HUMAN,Oxysterol-binding protein-related protein 5 (ORP-5) (OSBP-related protein 5) (Oxysterol-binding protein homolog 1),0.96
81,O00167,EYA2_HUMAN,Eyes absent homolog 2 (EC 3.1.3.48),0.95
82,Q13615,MTMR3_HUMAN,"Myotubularin-related protein 3 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64) (Zinc finger FYVE domain-containing protein 10)",0.95
83,Q92797,SYMPK_HUMAN,Symplekin,0.94
84,Q92835,SHIP1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase D) (EC 3.1.3.56) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship) (hp51CN)",0.94
85,Q96I34,PP16A_HUMAN,Protein phosphatase 1 regulatory subunit 16A (Myosin phosphatase-targeting subunit 3),0.94
86,Q96RL6,SIG11_HUMAN,Sialic acid-binding Ig-like lectin 11 (Sialic acid-binding lectin 11) (Siglec-11),0.94
87,Q8TE77,SSH3_HUMAN,Protein phosphatase Slingshot homolog 3 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 3) (SSH-3L) (hSSH-3L),0.94
88,P22059,OSBP1_HUMAN,Oxysterol-binding protein 1,0.94
89,O94763,RMP_HUMAN,Unconventional prefoldin RPB5 interactor 1 (Protein NNX3) (Protein phosphatase 1 regulatory subunit 19) (RNA polymerase II subunit 5-mediating protein) (RPB5-mediating protein),0.93
90,P30304,MPIP1_HUMAN,M-phase inducer phosphatase 1 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25A),0.93
91,Q9Y6X6,MYO16_HUMAN,Unconventional myosin-XVI (Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 3) (Unconventional myosin-16),0.93
92,O15357,SHIP2_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)",0.93
93,P30305,MPIP2_HUMAN,M-phase inducer phosphatase 2 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25B),0.93
94,P98160,PGBM_HUMAN,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide],0.93
95,Q14693,LPIN1_HUMAN,Phosphatidate phosphatase LPIN1 (EC 3.1.3.4) (Lipin-1),0.93
96,P46695,IEX1_HUMAN,Radiation-inducible immediate-early gene IEX-1 (Differentiation-dependent gene 2 protein) (Protein DIF-2) (Immediate early protein GLY96) (Immediate early response 3 protein) (PACAP-responsive gene 1 protein) (Protein PRG1),0.92
97,Q96T49,PP16B_HUMAN,Protein phosphatase 1 regulatory inhibitor subunit 16B (Ankyrin repeat domain-containing protein 4) (CAAX box protein TIMAP) (TGF-beta-inhibited membrane-associated protein) (hTIMAP),0.92
98,O15297,PPM1D_HUMAN,Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1),0.92
99,O96001,PPR17_HUMAN,Protein phosphatase 1 regulatory subunit 17 (G-substrate),0.92
100,Q9BY84,DUS16_HUMAN,Dual specificity protein phosphatase 16 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 7) (MAP kinase phosphatase 7) (MKP-7),0.92
101,Q9NYA4,MTMR4_HUMAN,Myotubularin-related protein 4 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 2) (FYVE-DSP2) (Zinc finger FYVE domain-containing protein 11),0.91
102,O96013,PAK4_HUMAN,Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4),0.91
103,O43426,SYNJ1_HUMAN,"Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)",0.9
104,Q8TAE6,PP14C_HUMAN,Protein phosphatase 1 regulatory subunit 14C (Kinase-enhanced PP1 inhibitor) (PKC-potentiated PP1 inhibitory protein) (Serologically defined breast cancer antigen NY-BR-81),0.9
105,Q12972,PP1R8_HUMAN,Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)],0.9
106,Q9HB20,PKHA3_HUMAN,Pleckstrin homology domain-containing family A member 3 (PH domain-containing family A member 3) (Phosphatidylinositol-four-phosphate adapter protein 1) (FAPP-1) (Phosphoinositol 4-phosphate adapter protein 1),0.9
107,B7ZBB8,PP13G_HUMAN,Protein phosphatase 1 regulatory subunit 3G,0.9
108,P0C7U0,ELFN1_HUMAN,Protein ELFN1 (Extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1) (Protein phosphatase 1 regulatory subunit 28),0.89
109,Q15678,PTN14_HUMAN,Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez),0.89
110,P57059,SIK1_HUMAN,Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK),0.89
111,P23470,PTPRG_HUMAN,Receptor-type tyrosine-protein phosphatase gamma (Protein-tyrosine phosphatase gamma) (R-PTP-gamma) (EC 3.1.3.48),0.89
112,Q99956,DUS9_HUMAN,Dual specificity protein phosphatase 9 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 4) (MAP kinase phosphatase 4) (MKP-4),0.88
113,Q9Y314,NOSIP_HUMAN,Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein),0.87
114,Q9Y2R2,PTN22_HUMAN,Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP) (PEST-domain phosphatase) (PEP),0.87
115,Q9NRR6,INP5E_HUMAN,"Phosphatidylinositol polyphosphate 5-phosphatase type IV (72 kDa inositol polyphosphate 5-phosphatase) (Inositol polyphosphate-5-phosphatase E) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86)",0.87
116,Q8IXW5,RPAP2_HUMAN,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2),0.86
117,Q13464,ROCK1_HUMAN,"Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)",0.86
118,Q5H9R7,PP6R3_HUMAN,Serine/threonine-protein phosphatase 6 regulatory subunit 3 (SAPS domain family member 3) (Sporulation-induced transcript 4-associated protein SAPL),0.85
