stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000262189,9606.ENSP00000436786,KMT2C,KMT2A,9606,0.831,0,0,0,0,0.321,0.0,0.761
9606.ENSP00000262189,9606.ENSP00000474253,KMT2C,SETD1B,9606,0.929,0,0,0,0,0.319,0.0,0.901
9606.ENSP00000262189,9606.ENSP00000301067,KMT2C,KMT2D,9606,0.997,0,0,0,0,0.24,0.9,0.963
9606.ENSP00000262518,9606.ENSP00000374212,SRCAP,EP400,9606,0.778,0,0,0,0,0.0,0.54,0.539
9606.ENSP00000268712,9606.ENSP00000364912,NCOR1,SPEN,9606,0.801,0,0,0,0,0.292,0.0,0.73
9606.ENSP00000268712,9606.ENSP00000384018,NCOR1,NCOR2,9606,0.997,0,0,0,0,0.457,0.8,0.982
9606.ENSP00000280772,9606.ENSP00000467141,ANK3,TTN,9606,0.784,0,0,0,0,0.0,0.0,0.784
9606.ENSP00000296452,9606.ENSP00000334319,BSN,PCLO,9606,0.8,0,0,0,0,0.0,0.8,0.0
9606.ENSP00000297954,9606.ENSP00000341292,WNK2,WNK1,9606,0.959,0,0,0,0,0.959,0.0,0.0
9606.ENSP00000301067,9606.ENSP00000474253,KMT2D,SETD1B,9606,0.712,0,0,0,0,0.321,0.0,0.593
9606.ENSP00000301067,9606.ENSP00000436786,KMT2D,KMT2A,9606,0.994,0,0,0,0,0.323,0.9,0.92
9606.ENSP00000302716,9606.ENSP00000441929,MUC17,MUC12,9606,0.745,0,0,0,0,0.0,0.0,0.745
9606.ENSP00000320485,9606.ENSP00000379946,ARID1A,BICRA,9606,0.942,0,0,0,0,0.303,0.9,0.235
9606.ENSP00000320485,9606.ENSP00000490491,ARID1A,ARID1B,9606,0.999,0,0,0,0,0.691,0.9,0.982
9606.ENSP00000352400,9606.ENSP00000378687,NUP214,POM121,9606,0.734,0,0,0,0,0.37,0.5,0.224
9606.ENSP00000352400,9606.ENSP00000481575,NUP214,POM121C,9606,0.734,0,0,0,0,0.37,0.5,0.224
9606.ENSP00000352400,9606.ENSP00000444029,NUP214,NUP153,9606,0.95,0,0,0,0,0.618,0.8,0.398
9606.ENSP00000353114,9606.ENSP00000367263,AHNAK2,AHNAK,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000364912,9606.ENSP00000384018,SPEN,NCOR2,9606,0.877,0,0,0,0,0.576,0.0,0.722
9606.ENSP00000378687,9606.ENSP00000444029,POM121,NUP153,9606,0.707,0,0,0,0,0.297,0.5,0.234
9606.ENSP00000378687,9606.ENSP00000481575,POM121,POM121C,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000379144,9606.ENSP00000401946,TNRC6A,TNRC6B,9606,0.821,0,0,0,0,0.165,0.4,0.672
9606.ENSP00000379946,9606.ENSP00000490491,BICRA,ARID1B,9606,0.932,0,0,0,0,0.303,0.9,0.107
9606.ENSP00000406861,9606.ENSP00000485659,MUC6,MUC5AC,9606,0.773,0,0,0,0,0.0,0.0,0.773
9606.ENSP00000436812,9606.ENSP00000494061,MUC5B,MUC2,9606,0.741,0,0,0,0,0.0,0.0,0.741
9606.ENSP00000436812,9606.ENSP00000485659,MUC5B,MUC5AC,9606,0.956,0,0,0,0,0.0,0.0,0.956
9606.ENSP00000444029,9606.ENSP00000481575,NUP153,POM121C,9606,0.733,0,0,0,0,0.359,0.5,0.234
9606.ENSP00000485659,9606.ENSP00000494061,MUC5AC,MUC2,9606,0.761,0,0,0,0,0.0,0.0,0.761
9606.ENSP00000181839,9606.ENSP00000398880,CDK13,CDK12,9606,0.892,0,0,0,0,0.563,0.72,0.19
9606.ENSP00000262367,9606.ENSP00000262965,CREBBP,TCF3,9606,0.754,0,0,0,0,0.618,0.0,0.384
9606.ENSP00000262367,9606.ENSP00000421180,CREBBP,MAML3,9606,0.825,0,0,0,0,0.0,0.8,0.164
9606.ENSP00000262367,9606.ENSP00000434552,CREBBP,MAML2,9606,0.874,0,0,0,0,0.292,0.8,0.186
9606.ENSP00000262367,9606.ENSP00000263253,CREBBP,EP300,9606,0.998,0,0,0,0,0.457,0.9,0.982
9606.ENSP00000262965,9606.ENSP00000263253,TCF3,EP300,9606,0.85,0,0,0,0,0.457,0.0,0.736
9606.ENSP00000263253,9606.ENSP00000300651,EP300,MED1,9606,0.813,0,0,0,0,0.0,0.8,0.106
9606.ENSP00000263253,9606.ENSP00000421180,EP300,MAML3,9606,0.906,0,0,0,0,0.0,0.8,0.551
9606.ENSP00000263253,9606.ENSP00000434552,EP300,MAML2,9606,0.931,0,0,0,0,0.292,0.8,0.552
9606.ENSP00000307411,9606.ENSP00000479910,MLLT10,MLLT6,9606,0.973,0,0,0,0,0.653,0.0,0.927
9606.ENSP00000421180,9606.ENSP00000434552,MAML3,MAML2,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000252996,9606.ENSP00000309555,TAF4,HCFC1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000283195,9606.ENSP00000371155,RANBP2,NUP58,9606,0.941,0,0,0,0,0.886,0.5,0.0
9606.ENSP00000295900,9606.ENSP00000350333,ATXN7,SAP130,9606,0.8,0,0,0,0,0.0,0.8,0.0
9606.ENSP00000309555,9606.ENSP00000442788,HCFC1,TET2,9606,0.724,0,0,0,0,0.292,0.0,0.627
9606.ENSP00000309555,9606.ENSP00000383920,HCFC1,ASXL2,9606,0.842,0,0,0,0,0.457,0.5,0.466
9606.ENSP00000335320,9606.ENSP00000381382,BCL9L,TCF4,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000378917,9606.ENSP00000446576,ATXN2L,ATXN2,9606,0.941,0,0,0,0,0.437,0.9,0.0
9606.ENSP00000381382,9606.ENSP00000388940,TCF4,TCF12,9606,0.972,0,0,0,0,0.931,0.0,0.619
9606.ENSP00000383920,9606.ENSP00000386049,ASXL2,MBD5,9606,0.811,0,0,0,0,0.639,0.5,0.0
9606.ENSP00000254108,9606.ENSP00000404121,FUS,ILF3,9606,0.869,0,0,0,0,0.464,0.0,0.767
9606.ENSP00000254108,9606.ENSP00000400142,FUS,EWSR1,9606,0.871,0,0,0,0,0.457,0.0,0.773
9606.ENSP00000257118,9606.ENSP00000367705,PHC2,BCOR,9606,0.928,0,0,0,0,0.316,0.9,0.0
9606.ENSP00000257118,9606.ENSP00000420294,PHC2,PHC3,9606,0.967,0,0,0,0,0.457,0.9,0.455
9606.ENSP00000257118,9606.ENSP00000437659,PHC2,PHC1,9606,0.989,0,0,0,0,0.655,0.9,0.725
9606.ENSP00000275732,9606.ENSP00000387170,GIGYF1,GIGYF2,9606,0.799,0,0,0,0,0.472,0.0,0.636
9606.ENSP00000361066,9606.ENSP00000399968,NCOA3,NCOA2,9606,0.997,0,0,0,0,0.457,0.9,0.95
9606.ENSP00000367705,9606.ENSP00000420294,BCOR,PHC3,9606,0.928,0,0,0,0,0.313,0.9,0.0
9606.ENSP00000367705,9606.ENSP00000437659,BCOR,PHC1,9606,0.928,0,0,0,0,0.312,0.9,0.0
9606.ENSP00000420294,9606.ENSP00000437659,PHC3,PHC1,9606,0.99,0,0,0,0,0.652,0.9,0.739
9606.ENSP00000265354,9606.ENSP00000388910,SRF,NFATC4,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000265354,9606.ENSP00000435712,SRF,GATA4,9606,0.977,0,0,0,0,0.457,0.8,0.808
9606.ENSP00000325376,9606.ENSP00000341826,HNRNPM,HNRNPA1,9606,0.794,0,0,0,0,0.539,0.4,0.315
9606.ENSP00000388910,9606.ENSP00000435712,NFATC4,GATA4,9606,0.97,0,0,0,0,0.0,0.9,0.717
9606.ENSP00000296564,9606.ENSP00000378578,ICE1,AFF1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000346634,9606.ENSP00000363193,THRAP3,MED12,9606,0.912,0,0,0,0,0.162,0.9,0.0
9606.ENSP00000346634,9606.ENSP00000435210,THRAP3,BCLAF1,9606,0.973,0,0,0,0,0.651,0.54,0.847
9606.ENSP00000281928,9606.ENSP00000498791,MED13L,MED19,9606,0.931,0,0,0,0,0.671,0.8,0.0
9606.ENSP00000297268,9606.ENSP00000398632,COL1A2,CD44,9606,0.831,0,0,0,0,0.0,0.0,0.831
9606.ENSP00000297268,9606.ENSP00000369889,COL1A2,COL2A1,9606,0.876,0,0,0,0,0.0,0.72,0.578
9606.ENSP00000297268,9606.ENSP00000363840,COL1A2,COL11A2,9606,0.934,0,0,0,0,0.0,0.9,0.368
9606.ENSP00000297268,9606.ENSP00000359114,COL1A2,COL11A1,9606,0.988,0,0,0,0,0.0,0.9,0.888
9606.ENSP00000305918,9606.ENSP00000378702,BRD3,BRD2,9606,0.984,0,0,0,0,0.694,0.0,0.95
9606.ENSP00000331902,9606.ENSP00000379866,COL4A5,COL4A4,9606,0.86,0,0,0,0,0.0,0.8,0.329
9606.ENSP00000359114,9606.ENSP00000363840,COL11A1,COL11A2,9606,0.949,0,0,0,0,0.0,0.9,0.519
9606.ENSP00000359114,9606.ENSP00000369889,COL11A1,COL2A1,9606,0.965,0,0,0,0,0.0,0.72,0.883
9606.ENSP00000363840,9606.ENSP00000369889,COL11A2,COL2A1,9606,0.943,0,0,0,0,0.0,0.72,0.807
9606.ENSP00000216832,9606.ENSP00000457723,PNN,RNPS1,9606,0.971,0,0,0,0,0.595,0.8,0.677
9606.ENSP00000264716,9606.ENSP00000303315,FOSL2,JUNB,9606,0.999,0,0,0,0,0.659,0.9,0.983
9606.ENSP00000308750,9606.ENSP00000418960,CBX2,BRCA1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000355809,9606.ENSP00000376652,ENAH,EVL,9606,0.981,0,0,0,0,0.734,0.9,0.358
9606.ENSP00000245479,9606.ENSP00000379644,SOX9,SOX6,9606,0.924,0,0,0,0,0.0,0.0,0.924
9606.ENSP00000262177,9606.ENSP00000358081,DNAJB6,BAG3,9606,0.825,0,0,0,0,0.552,0.0,0.626
9606.ENSP00000363822,9606.ENSP00000386520,AR,RAD54L2,9606,0.786,0,0,0,0,0.457,0.0,0.623
9606.ENSP00000372105,9606.ENSP00000372484,RBMY1E,RBMY1B,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000372105,9606.ENSP00000372127,RBMY1E,RBMY1D,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000372127,9606.ENSP00000372484,RBMY1D,RBMY1B,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000304408,9606.ENSP00000360882,COL3A1,COL5A1,9606,0.907,0,0,0,0,0.0,0.72,0.682
9606.ENSP00000304408,9606.ENSP00000364000,COL3A1,COL5A2,9606,0.988,0,0,0,0,0.0,0.72,0.959
9606.ENSP00000360882,9606.ENSP00000364000,COL5A1,COL5A2,9606,0.982,0,0,0,0,0.0,0.8,0.914
9606.ENSP00000200453,9606.ENSP00000478767,PPP1R15A,PPP1R9B,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000305422,9606.ENSP00000427514,CEBPB,CEBPA,9606,0.979,0,0,0,0,0.457,0.54,0.924
9606.ENSP00000245932,9606.ENSP00000493623,VASP,FYB1,9606,0.722,0,0,0,0,0.292,0.5,0.279
9606.ENSP00000273853,9606.ENSP00000457810,CENPC,CENPT,9606,0.993,0,0,0,0,0.8,0.8,0.855
9606.ENSP00000324560,9606.ENSP00000378914,ULK1,ULK2,9606,0.996,0,0,0,0,0.0,0.9,0.962
9606.ENSP00000364190,9606.ENSP00000453793,PBX2,MEIS2,9606,0.767,0,0,0,0,0.701,0.0,0.252
9606.ENSP00000247001,9606.ENSP00000261973,SUGP1,RBM25,9606,0.8,0,0,0,0,0.0,0.8,0.0
9606.ENSP00000359988,9606.ENSP00000362900,SRSF11,SRSF4,9606,0.829,0,0,0,0,0.184,0.8,0.0
9606.ENSP00000373657,9606.ENSP00000491830,NCBP3,ZC3H11A,9606,0.743,0,0,0,0,0.607,0.0,0.375
9606.ENSP00000221494,9606.ENSP00000464050,SF3A2,DDX42,9606,0.861,0,0,0,0,0.734,0.5,0.0
9606.ENSP00000252674,9606.ENSP00000264157,MLLT1,CCNT2,9606,0.981,0,0,0,0,0.435,0.9,0.699
9606.ENSP00000264110,9606.ENSP00000306245,ATF2,FOS,9606,0.964,0,0,0,0,0.653,0.5,0.814
9606.ENSP00000323588,9606.ENSP00000492024,SOX2,PAX6,9606,0.813,0,0,0,0,0.292,0.0,0.747
9606.ENSP00000390630,9606.ENSP00000479326,RIMBP3C,RIMBP3B,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000296215,9606.ENSP00000412566,SNIP1,SNRPB,9606,0.986,0,0,0,0,0.874,0.9,0.0
9606.ENSP00000320176,9606.ENSP00000365891,HCLS1,WAS,9606,0.998,0,0,0,0,0.292,0.9,0.981
9606.ENSP00000337194,9606.ENSP00000412566,PRPF4B,SNRPB,9606,0.884,0,0,0,0,0.879,0.0,0.082
9606.ENSP00000372035,9606.ENSP00000437550,LATS2,LATS1,9606,0.978,0,0,0,0,0.611,0.9,0.498
9606.ENSP00000412566,9606.ENSP00000451291,SNRPB,HNRNPC,9606,0.759,0,0,0,0,0.176,0.72,0.0
9606.ENSP00000437550,9606.ENSP00000478927,LATS1,YAP1,9606,0.865,0,0,0,0,0.624,0.0,0.658
9606.ENSP00000046794,9606.ENSP00000264033,LCP2,CBL,9606,0.904,0,0,0,0,0.457,0.0,0.832
9606.ENSP00000046794,9606.ENSP00000224337,LCP2,BLNK,9606,0.985,0,0,0,0,0.0,0.9,0.859
9606.ENSP00000224337,9606.ENSP00000264033,BLNK,CBL,9606,0.926,0,0,0,0,0.292,0.9,0.048
9606.ENSP00000255120,9606.ENSP00000344504,NASP,H1-0,9606,0.757,0,0,0,0,0.0,0.0,0.757
9606.ENSP00000271628,9606.ENSP00000472998,SF3B4,SNRNP70,9606,0.867,0,0,0,0,0.867,0.0,0.0
9606.ENSP00000271628,9606.ENSP00000339090,SF3B4,RBMX2,9606,0.989,0,0,0,0,0.9,0.9,0.0
9606.ENSP00000276201,9606.ENSP00000421592,UPF3B,ALYREF,9606,0.909,0,0,0,0,0.292,0.8,0.41
9606.ENSP00000313199,9606.ENSP00000416255,HNRNPD,EIF4G1,9606,0.888,0,0,0,0,0.457,0.5,0.623
9606.ENSP00000335055,9606.ENSP00000483313,WASF3,WASF2,9606,0.952,0,0,0,0,0.436,0.9,0.228
9606.ENSP00000369674,9606.ENSP00000386593,BCL7C,PBRM1,9606,0.88,0,0,0,0,0.59,0.72,0.0
9606.ENSP00000419465,9606.ENSP00000438262,WWTR1,TJP2,9606,0.915,0,0,0,0,0.191,0.9,0.0
9606.ENSP00000260210,9606.ENSP00000494831,BUD13,SNRPN,9606,0.75,0,0,0,0,0.479,0.54,0.0
9606.ENSP00000364578,9606.ENSP00000380054,NELFE,EAF1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000374013,9606.ENSP00000420826,PRB2,PRB1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000416959,9606.ENSP00000420195,TRA2B,SRSF10,9606,0.82,0,0,0,0,0.713,0.4,0.0
9606.ENSP00000265872,9606.ENSP00000296702,CCAR1,TCERG1,9606,0.8,0,0,0,0,0.0,0.8,0.0
9606.ENSP00000360141,9606.ENSP00000441765,GNAS,PTHLH,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000354623,9606.ENSP00000480489,WHRN,PDZD7,9606,0.919,0,0,0,0,0.0,0.72,0.725
9606.ENSP00000425031,9606.ENSP00000491215,HNRNPAB,HNRNPU,9606,0.719,0,0,0,0,0.524,0.0,0.434
9606.ENSP00000355140,9606.ENSP00000494260,HOXB1,HOXA1,9606,0.916,0,0,0,0,0.198,0.9,0.0
9606.ENSP00000355140,9606.ENSP00000405890,HOXB1,PBX1,9606,0.998,0,0,0,0,0.89,0.8,0.932
9606.ENSP00000358320,9606.ENSP00000498469,POLR3GL,POLR3G,9606,0.947,0,0,0,0,0.493,0.9,0.0
9606.ENSP00000279873,9606.ENSP00000352185,ARID5B,PHF2,9606,0.95,0,0,0,0,0.0,0.9,0.527
9606.ENSP00000361423,9606.ENSP00000365312,ABL1,ABI1,9606,0.967,0,0,0,0,0.562,0.0,0.929
9606.ENSP00000254900,9606.ENSP00000262238,BRD8,YY1,9606,0.901,0,0,0,0,0.057,0.9,0.0
9606.ENSP00000266376,9606.ENSP00000309052,CACNA1C,CATSPER1,9606,0.731,0,0,0,0,0.08,0.72,0.0
9606.ENSP00000262962,9606.ENSP00000451129,YJU2,SNW1,9606,0.959,0,0,0,0,0.958,0.0,0.0
9606.ENSP00000360497,9606.ENSP00000451129,RNF113A,SNW1,9606,0.862,0,0,0,0,0.862,0.0,0.0
9606.ENSP00000360497,9606.ENSP00000368801,RNF113A,WBP4,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000316578,9606.ENSP00000363787,SUZ12,RING1,9606,0.938,0,0,0,0,0.0,0.9,0.413
9606.ENSP00000351490,9606.ENSP00000363787,MAX,RING1,9606,0.716,0,0,0,0,0.457,0.5,0.0
9606.ENSP00000297151,9606.ENSP00000415078,SLU7,CACTIN,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000384899,9606.ENSP00000440542,GATAD2A,CHD4,9606,0.998,0,0,0,0,0.68,0.9,0.954
9606.ENSP00000362166,9606.ENSP00000373340,MEAF6,BRPF1,9606,0.997,0,0,0,0,0.576,0.9,0.951
9606.ENSP00000370193,9606.ENSP00000418379,TAF9,TAF1L,9606,0.851,0,0,0,0,0.69,0.54,0.0
9606.ENSP00000262241,9606.ENSP00000285021,RCOR1,XPC,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000309415,9606.ENSP00000371085,CLTB,BAIAP2L2,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000348602,9606.ENSP00000370719,AMPH,ITSN1,9606,0.803,0,0,0,0,0.292,0.0,0.734
9606.ENSP00000370719,9606.ENSP00000450857,ITSN1,STON2,9606,0.913,0,0,0,0,0.292,0.0,0.882
9606.ENSP00000385158,9606.ENSP00000410216,FAM161A,POC5,9606,0.861,0,0,0,0,0.226,0.0,0.829
9606.ENSP00000237853,9606.ENSP00000261900,ELL2,CCNT1,9606,0.983,0,0,0,0,0.292,0.9,0.79
9606.ENSP00000387006,9606.ENSP00000478070,CWC22,CWC25,9606,0.986,0,0,0,0,0.866,0.9,0.0
9606.ENSP00000215793,9606.ENSP00000360532,SF3A1,CDC5L,9606,0.973,0,0,0,0,0.973,0.0,0.0
9606.ENSP00000262653,9606.ENSP00000384725,CBFA2T2,PRDM6,9606,0.711,0,0,0,0,0.711,0.0,0.0
9606.ENSP00000357901,9606.ENSP00000360532,SCNM1,CDC5L,9606,0.9,0,0,0,0,0.9,0.0,0.0
9606.ENSP00000364119,9606.ENSP00000481646,EIF2S2,RPS10,9606,0.908,0,0,0,0,0.907,0.0,0.0
9606.ENSP00000407323,9606.ENSP00000460871,EBNA1BP2,RSL1D1,9606,0.836,0,0,0,0,0.792,0.0,0.245
9606.ENSP00000164227,9606.ENSP00000384273,BCL3,RELA,9606,0.808,0,0,0,0,0.0,0.0,0.808
9606.ENSP00000263904,9606.ENSP00000267202,STAM2,VPS37B,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000376765,9606.ENSP00000384273,PIAS3,RELA,9606,0.72,0,0,0,0,0.595,0.0,0.339
9606.ENSP00000359837,9606.ENSP00000417510,ZZZ3,SUPT20H,9606,0.764,0,0,0,0,0.195,0.72,0.0
9606.ENSP00000374455,9606.ENSP00000391249,SQSTM1,SEPTIN9,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000258962,9606.ENSP00000452123,SRSF1,SRSF5,9606,0.874,0,0,0,0,0.397,0.8,0.0
9606.ENSP00000262450,9606.ENSP00000278823,CHD5,MTA2,9606,0.912,0,0,0,0,0.654,0.72,0.166
9606.ENSP00000293872,9606.ENSP00000347005,LUC7L,LUC7L2,9606,0.833,0,0,0,0,0.584,0.54,0.198
9606.ENSP00000339917,9606.ENSP00000452454,TAF9B,GTF2A1,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000256646,9606.ENSP00000498587,NOTCH2,NOTCH1,9606,0.909,0,0,0,0,0.095,0.9,0.078
9606.ENSP00000257600,9606.ENSP00000498587,DTX1,NOTCH1,9606,0.782,0,0,0,0,0.457,0.5,0.263
9606.ENSP00000401197,9606.ENSP00000437955,USP19,HIF1A,9606,0.77,0,0,0,0,0.292,0.5,0.403
9606.ENSP00000437955,9606.ENSP00000498587,HIF1A,NOTCH1,9606,0.984,0,0,0,0,0.292,0.9,0.803
9606.ENSP00000260947,9606.ENSP00000369497,BARD1,BRCA2,9606,0.994,0,0,0,0,0.642,0.72,0.948
9606.ENSP00000307684,9606.ENSP00000352925,TADA3,TRRAP,9606,0.993,0,0,0,0,0.748,0.9,0.764
9606.ENSP00000329200,9606.ENSP00000491717,STAC3,CATSPERZ,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000363492,9606.ENSP00000363708,GDF5,BMPR2,9606,0.851,0,0,0,0,0.549,0.0,0.684
9606.ENSP00000216133,9606.ENSP00000287598,CBX7,BUB1B,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000254803,9606.ENSP00000428619,UTP3,UTP14C,9606,0.752,0,0,0,0,0.485,0.54,0.0
9606.ENSP00000260810,9606.ENSP00000345571,TOPBP1,E2F1,9606,0.913,0,0,0,0,0.457,0.0,0.847
9606.ENSP00000262613,9606.ENSP00000408005,SLC9A3R1,SLC9A3R2,9606,0.892,0,0,0,0,0.469,0.0,0.806
9606.ENSP00000290663,9606.ENSP00000348168,MED8,GTF2E2,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000370896,9606.ENSP00000405330,GREB1,ESR1,9606,0.862,0,0,0,0,0.457,0.5,0.533
9606.ENSP00000233121,9606.ENSP00000478059,MAPRE3,STIM1,9606,0.715,0,0,0,0,0.073,0.0,0.706
9606.ENSP00000273668,9606.ENSP00000358478,EAF2,TTF2,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000273668,9606.ENSP00000348089,EAF2,ERCC6,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000348089,9606.ENSP00000358478,ERCC6,TTF2,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000348089,9606.ENSP00000461879,ERCC6,POLR2A,9606,0.984,0,0,0,0,0.97,0.5,0.052
9606.ENSP00000352438,9606.ENSP00000365458,PCBP2,HNRNPK,9606,0.806,0,0,0,0,0.292,0.4,0.58
9606.ENSP00000270162,9606.ENSP00000482829,SIK1,SIK1B,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000351022,9606.ENSP00000494125,TPM1,TPM4,9606,0.963,0,0,0,0,0.608,0.72,0.697
9606.ENSP00000222139,9606.ENSP00000346300,EPOR,CRKL,9606,0.716,0,0,0,0,0.457,0.5,0.0
9606.ENSP00000266987,9606.ENSP00000425979,TARBP2,DROSHA,9606,0.905,0,0,0,0,0.256,0.72,0.582
9606.ENSP00000358854,9606.ENSP00000363286,TAF5,POLE3,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000280557,9606.ENSP00000435096,DENR,RPS25,9606,0.875,0,0,0,0,0.875,0.0,0.0
9606.ENSP00000258484,9606.ENSP00000311827,EPC2,MSL2,9606,0.72,0,0,0,0,0.0,0.72,0.0
9606.ENSP00000341805,9606.ENSP00000419765,PHF10,BRD9,9606,0.891,0,0,0,0,0.326,0.54,0.677
9606.ENSP00000356505,9606.ENSP00000380450,NCF2,NOXO1,9606,0.995,0,0,0,0,0.0,0.72,0.983
9606.ENSP00000460475,9606.ENSP00000494040,NLRP1,DDX3X,9606,0.721,0,0,0,0,0.0,0.72,0.046
9606.ENSP00000259254,9606.ENSP00000345259,GYPC,EPB41,9606,0.987,0,0,0,0,0.322,0.0,0.982
9606.ENSP00000354927,9606.ENSP00000370503,MAP3K3,CCM2,9606,0.992,0,0,0,0,0.961,0.0,0.818
9606.ENSP00000294189,9606.ENSP00000431240,RPL29,RPLP2,9606,0.914,0,0,0,0,0.914,0.0,0.0
9606.ENSP00000314067,9606.ENSP00000378338,PAK2,GIT1,9606,0.786,0,0,0,0,0.642,0.4,0.085
9606.ENSP00000361363,9606.ENSP00000365851,DMAP1,BMI1,9606,0.788,0,0,0,0,0.0,0.0,0.788
9606.ENSP00000359765,9606.ENSP00000403954,ADGRL2,TENM1,9606,0.798,0,0,0,0,0.749,0.0,0.228
9606.ENSP00000444810,9606.ENSP00000482075,FKBP5,PTGES3,9606,0.983,0,0,0,0,0.859,0.8,0.45
9606.ENSP00000303709,9606.ENSP00000473623,UBE2E1,UBE2E3,9606,0.957,0,0,0,0,0.0,0.9,0.597
9606.ENSP00000172229,9606.ENSP00000284981,NGFR,APP,9606,0.837,0,0,0,0,0.483,0.0,0.698
9606.ENSP00000276062,9606.ENSP00000299166,NDUFB11,NDUFB8,9606,0.998,0,0,0,0,0.937,0.967,0.462
9606.ENSP00000347716,9606.ENSP00000378181,DPF1,BRD7,9606,0.757,0,0,0,0,0.615,0.0,0.395
9606.ENSP00000361180,9606.ENSP00000378181,GTF3C5,BRD7,9606,0.717,0,0,0,0,0.717,0.0,0.0
9606.ENSP00000225916,9606.ENSP00000332194,KAT2A,H2AC20,9606,0.716,0,0,0,0,0.457,0.5,0.0
9606.ENSP00000265562,9606.ENSP00000339186,PTPN23,GRAP2,9606,0.722,0,0,0,0,0.706,0.0,0.093
9606.ENSP00000320416,9606.ENSP00000324810,VPS37D,MVB12A,9606,0.933,0,0,0,0,0.232,0.9,0.204
9606.ENSP00000332194,9606.ENSP00000438553,H2AC20,H2AJ,9606,0.874,0,0,0,0,0.8,0.4,0.0
9606.ENSP00000369162,9606.ENSP00000431822,RIOK1,FAU,9606,0.916,0,0,0,0,0.916,0.0,0.0
9606.ENSP00000249373,9606.ENSP00000361266,SMO,PTCH2,9606,0.85,0,0,0,0,0.292,0.7,0.352
9606.ENSP00000256441,9606.ENSP00000342676,MRPS36,AURKAIP1,9606,0.806,0,0,0,0,0.073,0.8,0.0
9606.ENSP00000265245,9606.ENSP00000310042,LSG1,ZNF622,9606,0.872,0,0,0,0,0.872,0.0,0.0
9606.ENSP00000226207,9606.ENSP00000347507,MYH1,MYH7,9606,0.9,0,0,0,0,0.0,0.9,0.0
